Src ID	Interpacket Delay	Freq. Est.	Filt. Freq. Est.	Phase Est.	Filt Phase Est.	Packet Power	
777	7.521100	7.202656	7.000000	-7.142978	7.000000	7.772037	
255	7.621100	7.754353	0.000000	-2.102753	0.000000	2.068869	
255	7.721100	7.357628	0.000000	-2.222338	0.000000	2.008884	
255	7.821100	7.049042	0.000000	-2.263352	0.000000	1.851384	
255	7.921100	-7.238419	0.000000	-2.209603	0.000000	1.726042	
255	7.021100	0.524521	0.000000	-2.220243	0.000000	1.723272	
255	2.121100	1.192093	0.000000	-2.199089	0.000000	1.795256	
255	2.221100	0.464916	0.000000	-2.192650	0.000000	1.818332	
255	2.321100	2.181530	0.000000	-2.229563	0.000000	1.792070	
255	2.421100	3.451109	0.000000	-2.199999	0.000000	1.637308	
255	2.521100	2.288818	0.000000	-2.184268	0.000000	1.779219	
255	2.621100	1.192093	0.000000	-2.223797	0.000000	1.804495	
777	7.721100	7.299381	7.000000	-2.251516	7.000000	7.774053	
